l,categoryLabel,word
http://www.wikidata.org/entity/L9188,pronom personnel,elle
http://www.wikidata.org/entity/L22755,adjectif,algérien
http://www.wikidata.org/entity/L10501,suffixe,-ment
http://www.wikidata.org/entity/L20414,nom,pronom
http://www.wikidata.org/entity/L17286,nom,race
http://www.wikidata.org/entity/L9257,pronom personnel,il
http://www.wikidata.org/entity/L17350,verbe,abaisser
http://www.wikidata.org/entity/L58404,verbe,abasourdir
http://www.wikidata.org/entity/L9160,verbe,arranger
http://www.wikidata.org/entity/L12434,verbe,traiter
http://www.wikidata.org/entity/L10246,verbe,garder
http://www.wikidata.org/entity/L10300,verbe,apercevoir
http://www.wikidata.org/entity/L10350,verbe,cracher
http://www.wikidata.org/entity/L10393,verbe,définir
http://www.wikidata.org/entity/L10398,verbe,commencer
http://www.wikidata.org/entity/L10604,verbe,préférer
http://www.wikidata.org/entity/L10762,verbe,étonner
http://www.wikidata.org/entity/L11147,verbe,répéter
http://www.wikidata.org/entity/L11304,verbe,masser
http://www.wikidata.org/entity/L11644,verbe,convaincre
http://www.wikidata.org/entity/L11964,verbe,défendre
http://www.wikidata.org/entity/L11991,verbe,effacer
http://www.wikidata.org/entity/L12031,verbe,rappeler
http://www.wikidata.org/entity/L12034,verbe,pendre
http://www.wikidata.org/entity/L12047,verbe,revenir
http://www.wikidata.org/entity/L12087,verbe,émouvoir
http://www.wikidata.org/entity/L12343,verbe,arrêter
http://www.wikidata.org/entity/L12344,verbe,presser
http://www.wikidata.org/entity/L12457,verbe,retenir
http://www.wikidata.org/entity/L12654,verbe,comparer
http://www.wikidata.org/entity/L12662,verbe,fâcher
http://www.wikidata.org/entity/L12856,verbe,suivre
http://www.wikidata.org/entity/L13082,verbe,prouver
http://www.wikidata.org/entity/L13102,verbe,composer
http://www.wikidata.org/entity/L13121,verbe,nuire
http://www.wikidata.org/entity/L13397,verbe,demeurer
http://www.wikidata.org/entity/L13692,verbe,respecter
http://www.wikidata.org/entity/L13778,verbe,obliger
http://www.wikidata.org/entity/L13882,verbe,intégrer
http://www.wikidata.org/entity/L13902,verbe,renouveler
http://www.wikidata.org/entity/L13905,verbe,forger
http://www.wikidata.org/entity/L13934,verbe,justifier
http://www.wikidata.org/entity/L13943,verbe,consulter
http://www.wikidata.org/entity/L13946,verbe,parer
http://www.wikidata.org/entity/L13948,verbe,surveiller
http://www.wikidata.org/entity/L14241,verbe,déballer
http://www.wikidata.org/entity/L15023,verbe,accéder
http://www.wikidata.org/entity/L15289,verbe,charger
http://www.wikidata.org/entity/L15351,verbe,inviter
http://www.wikidata.org/entity/L16028,verbe,imiter
http://www.wikidata.org/entity/L16365,verbe,décréter
http://www.wikidata.org/entity/L16369,verbe,évoluer
http://www.wikidata.org/entity/L16477,verbe,comporter
http://www.wikidata.org/entity/L16512,verbe,ranger
http://www.wikidata.org/entity/L17204,verbe,combattre
http://www.wikidata.org/entity/L17321,verbe,reprocher
http://www.wikidata.org/entity/L17322,verbe,marcher
http://www.wikidata.org/entity/L17351,verbe,repousser
http://www.wikidata.org/entity/L17358,verbe,haïr
http://www.wikidata.org/entity/L17590,verbe,observer
http://www.wikidata.org/entity/L17950,verbe,évanouir
http://www.wikidata.org/entity/L18012,verbe,accuser
http://www.wikidata.org/entity/L18701,verbe,refaire
http://www.wikidata.org/entity/L18705,verbe,témoigner
http://www.wikidata.org/entity/L1917,verbe,pleuvoir
